picture_file;picture;Identificador de URL;Nombre;Categorías;Nombre de propiedad 1;Valor de propiedad 1;Nombre de propiedad 2;Valor de propiedad 2;Nombre de propiedad 3;Valor de propiedad 3;Precio;Precio promocional;Peso (kg);Alto (cm);Ancho (cm);Profundidad (cm);Stock;SKU;Código de barras;Mostrar en tienda;Envío sin cargo;Descripción;Tags;Título para SEO;Descripción para SEO;Marca;Producto Fásico;MPN (Número de pieza del fabricante);Sexo;Rango de edad;Costo;Imagen_url
110193_NASSOMATTO_FANTOMAS_EXTRAIT_PARFUM_1_png.webp;;110193-NASSOMATTO-FANTOMAS-EXTRAIT-PARFUM-1;NASSOMATTO FANTOMAS EXTRAIT PARFUM 1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;https://wpwmcikdclulxuhpijri.supabase.co/storage/v1/object/public/perpel_images/perfumery_fragancias/110193_NASSOMATTO_FANTOMAS_EXTRAIT_PARFUM_1_png.webp
110502_MONTALE_DIAMOND_ROSE_EPV_100ML_1_9_png.webp;;110502-MONTALE-DIAMOND-ROSE-EPV-100ML-1-9;MONTALE DIAMOND ROSE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;https://wpwmcikdclulxuhpijri.supabase.co/storage/v1/object/public/perpel_images/perfumery_fragancias/110502_MONTALE_DIAMOND_ROSE_EPV_100ML_1_9_png.webp
114584_ROJA_ELIXIR_FEMME_ESSENCE_PARFUM_100ML_1_5_png.webp;;114584-ROJA-ELIXIR-FEMME-ESSENCE-PARFUM-100ML-1-5;ROJA ELIXIR FEMME ESSENCE PARFUM 100ML 1 5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;https://wpwmcikdclulxuhpijri.supabase.co/storage/v1/object/public/perpel_images/perfumery_fragancias/114584_ROJA_ELIXIR_FEMME_ESSENCE_PARFUM_100ML_1_5_png.webp
114587_ROJA_ENIGMA_HOMME_COLOGNE_100ML_1_5_png.webp;;114587-ROJA-ENIGMA-HOMME-COLOGNE-100ML-1-5;ROJA ENIGMA HOMME COLOGNE 100ML 1 5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;https://wpwmcikdclulxuhpijri.supabase.co/storage/v1/object/public/perpel_images/perfumery_fragancias/114587_ROJA_ENIGMA_HOMME_COLOGNE_100ML_1_5_png.webp
114889_BRAVANARIZ_LANDSCAPE_SCENTS_MUGA_50ML_1.png;;114889-BRAVANARIZ-LANDSCAPE-SCENTS-MUGA-50ML-1;BRAVANARIZ LANDSCAPE SCENTS MUGA 50;;;;;;;;;;;;;;;;;;;;;;;;;;;;;https://wpwmcikdclulxuhpijri.supabase.co/storage/v1/object/public/perpel_images/perfumery_fragancias/114889_BRAVANARIZ_LANDSCAPE_SCENTS_MUGA_50ML_1.png
115124_ETRO_WHITE_MAGNOLIA_EPV_100ML_1_10_png.webp;;115124-ETRO-WHITE-MAGNOLIA-EPV-100ML-1-10;ETRO WHITE MAGNOLIA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;https://wpwmcikdclulxuhpijri.supabase.co/storage/v1/object/public/perpel_images/perfumery_fragancias/115124_ETRO_WHITE_MAGNOLIA_EPV_100ML_1_10_png.webp
115127_creed_viking_cologne_for_him_epv_100ml_1_png.webp;;115127-creed-viking-cologne-for-him-epv-100ml-1;creed viking cologne for him;;;;;;;;;;;;;;;;;;;;;;;;;;;;;https://wpwmcikdclulxuhpijri.supabase.co/storage/v1/object/public/perpel_images/perfumery_fragancias/115127_creed_viking_cologne_for_him_epv_100ml_1_png.webp
115132_CASAMORATI_1888_EPV_100ML_1_3_png.webp;;115132-CASAMORATI-1888-EPV-100ML-1-3;CASAMORATI 1888;;;;;;;;;;;;;;;;;;;;;;;;;;;;;https://wpwmcikdclulxuhpijri.supabase.co/storage/v1/object/public/perpel_images/perfumery_fragancias/115132_CASAMORATI_1888_EPV_100ML_1_3_png.webp
115605-MOLINARD_ROSE_EMOI_EPV_90ML_1_4_png.webp;;115605-MOLINARD-ROSE-EMOI-EPV-90ML-1-4;ROSE EMOI;;;;;;;;;;;;;;;;;;;;;;;;;;;;;https://wpwmcikdclulxuhpijri.supabase.co/storage/v1/object/public/perpel_images/perfumery_fragancias/115605-MOLINARD_ROSE_EMOI_EPV_90ML_1_4_png.webp
115608-MOLINARD_CHER_WOOD_EPV_90ML_1_3_png.webp;;115608-MOLINARD-CHER-WOOD-EPV-90ML-1-3;CHER WOOD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;https://wpwmcikdclulxuhpijri.supabase.co/storage/v1/object/public/perpel_images/perfumery_fragancias/115608-MOLINARD_CHER_WOOD_EPV_90ML_1_3_png.webp
115663_HISTORIES_DE_PARFUMS_1969_120ML_1_png.webp;;115663-HISTORIES-DE-PARFUMS-1969-120ML-1;HISTORIES DE PARFUMS 1969 120ML 1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;https://wpwmcikdclulxuhpijri.supabase.co/storage/v1/object/public/perpel_images/perfumery_fragancias/115663_HISTORIES_DE_PARFUMS_1969_120ML_1_png.webp
115666_CARNER_PALO_SANTO_EPV_100ML_1_1_png.webp;;115666-CARNER-PALO-SANTO-EPV-100ML-1-1;CARNER PALO SANTO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;https://wpwmcikdclulxuhpijri.supabase.co/storage/v1/object/public/perpel_images/perfumery_fragancias/115666_CARNER_PALO_SANTO_EPV_100ML_1_1_png.webp
